,pred,pred_high,pred_low,dif4,sigma_dif4,dif4_high,dif4_low,dif4_median,match4,sigma_match4,match4_high,match4_low,match4_median,spectrum4
58,432708.07536049717,354533.61264086846,520750.2035491243,0.0,0.0,0.0,0.0,0.0,4954010.284969009,0.0,4954010.284969009,4954010.284969009,4954010.284969009,4954010.284969009
59,376911.7675125166,308233.0132647397,453607.1867158529,0.0,0.0,0.0,0.0,0.0,5143447.905109303,0.0,5143447.905109303,5143447.905109303,5143447.905109303,5143447.905109303
60,330617.53866564727,268098.40501777694,398064.3431874043,0.0,0.0,0.0,0.0,0.0,5253817.13824966,0.0,5253817.13824966,5253817.13824966,5253817.13824966,5253817.13824966
61,291937.1785270355,236573.65474932012,350374.89892835764,0.0,0.0,0.0,0.0,0.0,5280285.051002638,0.0,5280285.051002638,5280285.051002638,5280285.051002638,5280285.051002638
62,259375.51186649085,210093.82591708645,311684.19229988643,0.0,0.0,0.0,0.0,0.0,5221227.755632438,0.0,5221227.755632438,5221227.755632438,5221227.755632438,5221227.755632438
63,231753.8910217127,188965.02991170657,279335.4029786204,0.0,0.0,0.0,0.0,0.0,5078430.395005383,0.0,5078430.395005383,5078430.395005383,5078430.395005383,5078430.395005383
64,208153.13816123112,170219.3302654589,250048.73678883637,0.0,0.0,0.0,0.0,0.0,4857134.922004406,0.0,4857134.922004406,4857134.922004406,4857134.922004406,4857134.922004406
65,187857.39805256083,155029.98247224596,223816.50309228254,0.0,0.0,0.0,0.0,0.0,4565891.46707028,0.0,4565891.46707028,4565891.46707028,4565891.46707028,4565891.46707028
66,170292.45211351715,141831.1702741334,201987.44328585613,0.0,0.0,0.0,0.0,0.0,4216326.581557365,0.0,4216326.581557365,4216326.581557365,4216326.581557365,4216326.581557365
67,154984.55514282783,129906.44447823965,183182.54302188253,0.0,0.0,0.0,0.0,0.0,3822777.7922776295,0.0,3822777.7922776295,3822777.7922776295,3822777.7922776295,3822777.7922776295
68,141557.69141769712,119387.65259606748,165789.8000186671,0.0,0.0,0.0,0.0,0.0,3401620.0042474307,0.0,3401620.0042474307,3401620.0042474307,3401620.0042474307,3401620.0042474307
69,129714.37259215872,110285.8460825594,150627.0962285112,0.0,0.0,0.0,0.0,0.0,2970229.781890053,0.0,2970229.781890053,2970229.781890053,2970229.781890053,2970229.781890053
70,119213.01928127381,101678.62419112406,136843.35069273564,0.0,0.0,0.0,0.0,0.0,2545709.3380964976,0.0,2545709.3380964976,2545709.3380964976,2545709.3380964976,2545709.3380964976
71,109855.9166476432,94749.90544478931,125976.13333303787,0.0,0.0,0.0,0.0,0.0,2143546.910897865,0.0,2143546.910897865,2143546.910897865,2143546.910897865,2143546.910897865
72,101479.79519449659,87663.06495637477,115476.56350758,0.0,0.0,0.0,0.0,0.0,1776400.8337988965,0.0,1776400.8337988965,1776400.8337988965,1776400.8337988965,1776400.8337988965
73,93948.59212695973,81239.13047714675,106809.97766776779,0.0,0.0,0.0,0.0,0.0,1453147.7994500939,0.0,1453147.7994500939,1453147.7994500939,1453147.7994500939,1453147.7994500939
74,87148.03284305683,75890.14590640935,98877.43308958151,0.0,0.0,0.0,0.0,0.0,1178361.1586189752,0.0,1178361.1586189752,1178361.1586189752,1178361.1586189752,1178361.1586189752
75,80981.58960870944,70758.30455596362,91836.61125345726,0.0,0.0,0.0,0.0,0.0,952391.223802631,0.0,952391.223802631,952391.223802631,952391.223802631,952391.223802631
76,75367.45208218144,65852.52163104159,86000.58478172282,0.0,0.0,0.0,0.0,0.0,771975.3018533015,0.0,771975.3018533015,771975.3018533015,771975.3018533015,771975.3018533015
77,70236.1471205707,61102.82088960918,79996.1320010304,0.0,0.0,0.0,0.0,0.0,631282.4725579099,0.0,631282.4725579099,631282.4725579099,631282.4725579099,631282.4725579099
78,65528.614165906874,56750.75915870057,74819.81703523576,0.0,0.0,0.0,0.0,0.0,523205.8045566615,0.0,523205.8045566615,523205.8045566615,523205.8045566615,523205.8045566615
79,61192.452039983065,52723.77058085199,70531.05847265448,0.0,0.0,0.0,0.0,0.0,440596.4685905971,0.0,440596.4685905971,440596.4685905971,440596.4685905971,440596.4685905971
80,57181.22235891505,49400.178300926615,65703.92047061076,0.0,0.0,0.0,0.0,0.0,377163.8001282971,0.0,377163.8001282971,377163.8001282971,377163.8001282971,377163.8001282971
81,53463.56695651516,45759.47943474477,61927.63933952782,0.0,0.0,0.0,0.0,0.0,327887.4740309003,0.0,327887.4740309003,327887.4740309003,327887.4740309003,327887.4740309003
82,50009.80268366454,42344.72986704459,58013.47702287832,0.0,0.0,0.0,0.0,0.0,288998.0368446809,0.0,288998.0368446809,288998.0368446809,288998.0368446809,288998.0368446809
83,46793.868111269105,39427.40601040433,54736.97665126233,0.0,0.0,0.0,0.0,0.0,257737.23715845885,0.0,257737.23715845885,257737.23715845885,257737.23715845885,257737.23715845885
84,43792.86149641963,36494.074630434705,51522.65730123216,0.0,0.0,0.0,0.0,0.0,232117.66105967286,0.0,232117.66105967286,232117.66105967286,232117.66105967286,232117.66105967286
85,40983.32338824121,33941.129328566225,48486.127253540566,0.0,0.0,0.0,0.0,0.0,210722.48614458877,0.0,210722.48614458877,210722.48614458877,210722.48614458877,210722.48614458877
86,38344.379597135376,31717.782032795923,45426.98655752838,0.0,0.0,0.0,0.0,0.0,192544.51666704664,0.0,192544.51666704664,192544.51666704664,192544.51666704664,192544.51666704664
87,35869.40360947033,29401.394230251026,42404.51250237875,0.0,0.0,0.0,0.0,0.0,176871.04500127738,0.0,176871.04500127738,176871.04500127738,176871.04500127738,176871.04500127738
88,33547.04981716199,27311.265794094004,39883.353587355115,0.0,0.0,0.0,0.0,0.0,163187.54033401672,0.0,163187.54033401672,163187.54033401672,163187.54033401672,163187.54033401672
89,31366.682367371486,25396.978773327246,37585.86207404561,0.0,0.0,0.0,0.0,0.0,151107.97183573787,8.299609532752161e-14,151107.97183573787,151107.97183573787,151107.97183573787,151107.97183573787
90,29319.01666931532,23572.95684325236,35216.9423481759,0.0,0.0,0.0,0.0,0.0,140346.94694960542,3.2299046656424166e-13,140346.94694960542,140346.94694960542,140346.94694960542,140346.94694960542
91,27395.968204377532,22019.820311440893,33060.84522689649,0.0,0.0,0.0,0.0,0.0,130699.05668777411,7.769720950178275e-13,130699.05668777408,130699.05668777408,130699.05668777408,130699.05668777408
92,25590.40925022617,20424.96206614915,31017.708506011222,0.0,0.0,0.0,0.0,0.0,122004.39070556569,1.5202391699858552e-12,122004.39070556565,122004.39070556565,122004.39070556565,122004.39070556565
93,23895.363202694327,19009.036493396234,29098.753727244126,0.0,0.0,0.0,0.0,0.0,114130.88054671817,2.5137452185823482e-12,114130.88054671814,114130.88054671814,114130.88054671814,114130.88054671814
94,22304.737941488856,17645.342120291796,27302.76307254356,0.0,0.0,0.0,0.0,0.0,106970.84392791134,3.6705774684390635e-12,106970.8439279113,106970.8439279113,106970.8439279113,106970.8439279113
95,20814.298291228373,16440.270545274918,25438.326930986084,0.0,0.0,0.0,0.0,0.0,100433.98982100002,4.886124219014087e-12,100433.98982099998,100433.98982099998,100433.98982099998,100433.98982099998
96,19419.09127081124,15348.917816863503,23667.120956116996,0.0,0.0,0.0,0.0,0.0,94441.7573787391,6.028662118731449e-12,94441.75737873904,94441.75737873904,94441.75737873904,94441.75737873904
97,18114.504225227804,14348.609427710908,22074.269595098413,0.0,0.0,0.0,0.0,0.0,88931.32920091655,6.995128481686527e-12,88931.32920091652,88931.32920091652,88931.32920091652,88931.32920091652
98,16895.493451795694,13389.2284076121,20575.863642531367,0.0,0.0,0.0,0.0,0.0,83858.41507681661,7.743038752678041e-12,83858.4150768166,83858.4150768166,83858.4150768166,83858.4150768166
99,15757.536650853934,12533.989273600144,19086.225722348918,0.0,0.0,0.0,0.0,0.0,79192.13806822227,8.274341344148022e-12,79192.13806822225,79192.13806822225,79192.13806822225,79192.13806822225
100,14697.38772351056,11761.755646754153,17830.94905629869,0.0,0.0,0.0,0.0,0.0,74904.75610761558,8.614457471629097e-12,74904.75610761557,74904.75610761557,74904.75610761557,74904.75610761557
101,13711.021516150693,11037.85422762167,16507.71085050958,0.0,0.0,0.0,0.0,0.0,70963.78039896171,8.809526370590745e-12,70963.78039896174,70963.78039896174,70963.78039896174,70963.78039896174
102,12794.439312990122,10335.103638702129,15350.906589860617,0.0,0.0,0.0,0.0,0.0,67334.71328460373,8.921405394352164e-12,67334.71328460376,67334.71328460376,67334.71328460376,67334.71328460376
103,11943.703093034102,9628.638608840254,14134.892819963936,0.0,0.0,0.0,0.0,0.0,63984.41701830992,9.000217786202523e-12,63984.41701830996,63984.41701830996,63984.41701830996,63984.41701830996
104,11154.935416153658,9041.1723073944,13196.35916901742,0.0,0.0,0.0,0.0,0.0,60883.58203047668,9.099670072080223e-12,60883.58203047674,60883.58203047674,60883.58203047674,60883.58203047674
105,10424.326831680444,8539.504380258697,12311.932431699004,0.0,0.0,0.0,0.0,0.0,58006.824638591264,9.25048310131296e-12,58006.82463859132,58006.82463859132,58006.82463859132,58006.82463859132
106,9748.154459421055,8013.427190201641,11416.171564856591,0.0,0.0,0.0,0.0,0.0,55336.19860309594,9.47781198974187e-12,55336.19860309598,55336.19860309598,55336.19860309598,55336.19860309598
107,9122.812437896271,7567.891791755977,10662.780514873088,0.0,0.0,0.0,0.0,0.0,52866.8645177831,9.819269196430179e-12,52866.86451778314,52866.86451778314,52866.86451778314,52866.86451778314
108,8544.819736958912,7078.633255187897,9967.430683699216,0.0,0.0,0.0,0.0,0.0,50599.14290287512,1.019635448711499e-11,50599.14290287516,50599.14290287516,50599.14290287516,50599.14290287516
109,8010.1201033830275,6645.040061846645,9330.067816831297,0.0,0.0,0.0,0.0,0.0,48528.60594726069,1.0526706771805701e-11,48528.605947260716,48528.605947260716,48528.605947260716,48528.605947260716
110,7516.170628725467,6274.753623237,8744.871996412923,0.0,0.0,0.0,0.0,0.0,46645.36131743686,1.0733029206848468e-11,46645.36131743688,46645.36131743688,46645.36131743688,46645.36131743688
111,7060.522412419554,5907.364813956084,8203.64420686189,0.0,0.0,0.0,0.0,0.0,44937.59174222147,1.0709967459656455e-11,44937.591742221484,44937.591742221484,44937.591742221484,44937.591742221484
112,6640.468181851677,5581.901051016669,7713.79017227112,0.0,0.0,0.0,0.0,0.0,43394.648723645645,1.0460020628377792e-11,43394.64872364566,43394.64872364566,43394.64872364566,43394.64872364566
113,6253.4757519313225,5283.101911826369,7293.442512667976,0.0,0.0,0.0,0.0,0.0,42005.71605626239,1.0031023354338088e-11,42005.7160562624,42005.7160562624,42005.7160562624,42005.7160562624
114,5897.155175051118,4993.834409996804,6858.200973048881,0.0,0.0,0.0,0.0,0.0,40758.29389568095,9.490213172589985e-12,40758.29389568095,40758.29389568095,40758.29389568095,40758.29389568095
115,5569.234636211505,4729.258422585287,6473.203766479564,0.0,0.0,0.0,0.0,0.0,39640.909590653624,8.937693305524229e-12,39640.90959065361,39640.90959065361,39640.90959065361,39640.90959065361
116,5267.542528067734,4477.623092936108,6090.613304817917,0.0,0.0,0.0,0.0,0.0,38640.97849287499,8.443712365882399e-12,38640.97849287496,38640.97849287496,38640.97849287496,38640.97849287496
117,4990.009024386216,4235.196743247489,5754.039305066719,0.0,0.0,0.0,0.0,0.0,37739.28164066175,8.030677317630895e-12,37739.28164066172,37739.28164066172,37739.28164066172,37739.28164066172
118,4734.669233519373,4015.395742395423,5459.474466228697,0.0,0.0,0.0,0.0,0.0,36909.45478857597,7.681099845651225e-12,36909.45478857594,36909.45478857594,36909.45478857594,36909.45478857594
119,4499.673311320002,3814.968979527319,5209.153393008793,0.0,0.0,0.0,0.0,0.0,36122.40384973379,7.360240509874169e-12,36122.40384973375,36122.40384973375,36122.40384973375,36122.40384973375
120,4283.293656956747,3634.0272588956987,4957.642912438103,0.0,0.0,0.0,0.0,0.0,35353.36198705469,7.040622326481086e-12,35353.36198705467,35353.36198705467,35353.36198705467,35353.36198705467
121,4084.123859251002,3455.122270461377,4719.182844847888,0.0,0.0,0.0,0.0,0.0,34585.31550297252,6.705008325450019e-12,34585.3155029725,34585.3155029725,34585.3155029725,34585.3155029725
122,3901.155695445268,3305.633373752941,4503.7985301389945,0.0,0.0,0.0,0.0,0.0,33806.05150793475,6.358643955632643e-12,33806.05150793474,33806.05150793474,33806.05150793474,33806.05150793474
123,3732.3462501837316,3165.948583181444,4285.656379295584,0.0,0.0,0.0,0.0,0.0,33006.814444090065,5.9871906113159136e-12,33006.81444409006,33006.81444409006,33006.81444409006,33006.81444409006
124,3571.728416062592,3027.866335011825,4118.046245643963,0.0,0.0,0.0,0.0,0.0,32183.69062928367,5.610152002217156e-12,32183.69062928368,32183.69062928368,32183.69062928368,32183.69062928368
125,3423.4858693340575,2903.280801828849,3934.805573102765,0.0,0.0,0.0,0.0,0.0,31336.34100766967,5.2683861119890254e-12,31336.34100766969,31336.34100766969,31336.34100766969,31336.34100766969
126,3290.5799422934347,2788.8605182698852,3777.75590918433,0.0,0.0,0.0,0.0,0.0,30462.044137915385,4.967805042134097e-12,30462.044137915414,30462.044137915414,30462.044137915414,30462.044137915414
127,3167.4685820114737,2681.331256039689,3652.2593314645587,0.0,0.0,0.0,0.0,0.0,29556.73084083425,4.720232391735121e-12,29556.730840834287,29556.730840834287,29556.730840834287,29556.730840834287
128,3053.6217344783167,2589.3832527871523,3514.048032326164,0.0,0.0,0.0,0.0,0.0,28619.02260806918,4.531747475116416e-12,28619.022608069212,28619.022608069212,28619.022608069212,28619.022608069212
129,2947.9485808472286,2493.26281712815,3390.3696983878235,0.0,0.0,0.0,0.0,0.0,27649.22888831789,4.412401045722498e-12,27649.22888831792,27649.22888831792,27649.22888831792,27649.22888831792
130,2849.760471451838,2407.6620153414915,3271.553573509157,0.0,0.0,0.0,0.0,0.0,26651.91831857711,4.364751629112912e-12,26651.91831857713,26651.91831857713,26651.91831857713,26651.91831857713
131,2758.3540932233054,2334.20583789226,3153.7423128848186,0.0,0.0,0.0,0.0,0.0,25631.46830007837,4.373213755102304e-12,25631.468300078377,25631.468300078377,25631.468300078377,25631.468300078377
132,2673.160043192348,2268.4877238094978,3054.703498821403,0.0,0.0,0.0,0.0,0.0,24589.057737577925,4.410934141246461e-12,24589.05773757791,24589.05773757791,24589.05773757791,24589.05773757791
133,2593.6744071778385,2198.35044966,2969.874017360733,0.0,0.0,0.0,0.0,0.0,23526.89529532867,4.4427016626667445e-12,23526.895295328643,23526.895295328643,23526.895295328643,23526.895295328643
134,2519.465783331706,2136.315990999831,2882.9105991571564,0.0,0.0,0.0,0.0,0.0,22447.202674042004,4.4391375357035356e-12,22447.20267404196,22447.20267404196,22447.20267404196,22447.20267404196
135,2450.1609106631845,2079.1068626020137,2796.541488450068,0.0,0.0,0.0,0.0,0.0,21352.47604376021,4.390253476900484e-12,21352.476043760158,21352.476043760158,21352.476043760158,21352.476043760158
